Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
72.6,120.9,0,0,0,0,0,0,0,965964,0,0,0,0
72.4,117.6,0,0,0,0,0,0,53664,3756526,0,0,0,0
71.6,146.1,0,0,0,0,0,0,53664,1180622,0,0,0,0
71.6,146.4,0,0,0,0,0,0,1663604,7030071,0,0,0,0
71.4,71.4,0,0,0,0,0,0,2361245,0,0,0,0,0
71.4,71.6,0,0,0,0,0,482982,1824598,0,0,0,0,0
71.4,71.9,0,0,0,0,0,0,0,0,268323,0,0,0
71.4,144.4,0,0,0,0,0,0,0,1341616,1448946,0,0,0
71.4,144.6,0,0,0,0,0,0,0,5795784,14489460,0,0,0
71.4,146.1,0,0,0,0,0,0,1824598,9874298,0,0,0,0
71.1,139.9,0,0,0,0,0,0,0,3058886,912299,0,0,0
71.1,140.1,0,0,0,0,0,0,0,268323,107329,0,0,0
71.1,140.4,0,0,0,0,0,0,0,3863856,1073293,0,0,0
71.1,144.4,0,0,0,0,0,0,0,2200251,5098143,0,0,0
71.1,144.6,0,0,0,0,0,0,0,22861148,70461710,0,0,0
71.1,144.9,0,0,0,0,0,0,0,8747340,36491976,0,0,0
70.9,139.9,0,0,0,0,0,0,0,24310094,5581125,0,0,0
70.9,140.1,0,0,0,0,0,0,590311,37082284,2468574,0,0,0
70.9,140.4,0,0,0,0,0,0,214658,73949910,3434538,0,0,0
70.9,140.6,0,0,0,0,0,0,0,14489460,1019628,0,0,0
70.9,146.1,0,0,0,0,0,0,0,375652,0,0,0,0
70.9,146.4,0,0,0,0,0,0,0,160994,0,0,0,0
70.6,141.4,0,0,0,0,0,0,0,53664,0,0,0,0
70.6,146.1,0,0,0,0,0,0,0,4078514,0,0,0,0
70.6,146.4,0,0,0,0,0,0,0,1287952,0,0,0,0
70.6,149.6,0,0,0,0,0,0,0,3005221,0,0,0,0
70.4,132.1,0,0,0,0,0,53664,0,0,0,0,0,0
70.4,141.1,0,0,0,0,0,0,0,1824598,804970,0,0,0
70.4,141.4,0,0,0,0,0,0,0,24471088,3219880,0,0,0
70.4,143.6,0,0,0,0,0,0,214658,268323,0,0,0,0
70.4,144.1,0,0,0,0,0,0,751305,965964,0,0,0,0
70.4,144.4,0,0,0,0,0,0,214658,160994,0,0,0,0
70.4,146.1,0,0,0,0,0,1180622,482982,0,0,0,0,0
70.4,146.4,0,0,0,0,0,2092922,214658,0,0,0,0,0
70.1,127.4,0,0,0,0,0,0,3380874,17709340,0,0,0,0
70.1,127.6,0,0,0,0,0,0,751305,6225101,0,0,0,0
70.1,132.1,0,0,0,0,0,4293173,1556275,0,0,0,0,0
70.1,132.4,0,0,0,0,0,214658,321988,0,0,0,0,0
69.9,124.1,0,0,0,0,0,751305,2897892,0,0,0,0,0
69.9,124.4,0,0,0,0,0,0,268323,0,0,0,0,0
69.9,135.1,0,0,0,0,0,160994,5581125,0,0,0,0,0
69.9,135.4,0,0,0,0,0,482982,160994,3541868,0,0,0,0
69.9,140.9,0,0,0,0,0,0,0,3219880,0,0,0,0
